rate,text
4,"Очень понравилось. Были в начале марта  с собакой. Дошли до  лесного озера по зкотропе  . Собака набегалась мы нагулялись. Домик чистый . Для этой цены соответствует. Рекомендую взять с собой посуду, так-как её там мало. Даже для двоих."
5,"В целом магазин устраивает.
Ассортимент позволяет не ходить в другие магазины и все покупать здесь,рядом с домом.
Часто акции .Сроки годности соответствуют.Кассиры доброжелательны.Правда в последний год количество их уменьшилось в разы,часто работает 1 касса,очереди.
В магазине чисто,часто размораживают и моют холодильники.
Но также часто заходишь на недели и нет каких то ходовых товаров- курица,творог и т.д"
5,"Очень хорошо что открылась 5 ка, теперь не надо далеко ехать все рядом!"
3,"Пятёрочка громко объявила о том как она заботится о пенсионерах, установив часы посещения магазинов сети с 8-00 до 10-00, чтобы они не заразились короновирусом. Что имеем в это время: хлеба нет, моркови нет, лимонов нет и т.д. Объясняют, что ещё не было завоза, тогда зачем приглашают?"
3,"Тесно, вечная сутолока, между рядами трудно разойтись, грязно. Была пару раз. Больше не пойду. "
4,Магазин в пешей доступности. После ремонта и реконструкции стал намного лучше и уютнее. Радует появившаяся пекарня и выпечка.
5,Магазин хороший цены и скидки нормальные токо все время у вас работает одна касса тк не у всех есть деньги на картах всегда
3,"Редко сюда забегаю. Маленький магазинчик, но это понятно, что в центральном районе особо не разгуляешься с метражами магазинов. На кассе вечно замученные тётки, либо раздраженные, либо отрешенные."
5,Сложно найти в торговом центре. А магазин - норм)
4,"После ремонта магазин в нутри стал ещё лучше. Больше ассортимент товаров, плюс скидки на продукцию. Вежливый персонал. Есть небольшая парковка."
5,"Все свежее, продукты."
5,"Наша любимая 🤩 
Сделали перестановку, выпечку добавили, кофе с собой можно организовать! Улучшение всегда хорошо! 👌🏻"
3,"Не вызывает этот магазин удовольствие от посещения. Рядом по соседству ещё один магазин пятерочка...
Вот если в одном было чисто продукты...
А в другом химия...
То думаю тогда бы они явно выигравали...
По ассортименту товаров .
А так не рыба не мясо..."
5,"Большой выбор продуктов, разнообразные акции"
4,"Неплохой магазин, но Спар, который там был раньше, был гораздо лучше"
4,Достойный супермаркет этой сети.
4,"отличный магазин с отличным персоналом, один минус - всегда ОГРОМНЫЕ ОЧЕРЕДИ!"
5,Хороший ассортимент.
1,"Цена на кассе вечно не соответствует цене в зале. Будьте внимательны, обходите стороной.

"
5,Хороший магазин шаговой доступности. Цена/качество отличное соотношение.
1,Отвратительная пятёрочка .....товара на полках мало ассортимент не очень
3,"База есть . Но в этой пятерочке по словам продавцов постоянно воруют , поэтому выбор совсем небольшой"
1,"Постоянный мухлеж с ценниками, а в остальном лучше чем в магните и дикси."
4,"Обычная пятерочка, но только в этой постоянные очереди и на первом, и на втором этажах. Это большой минус. А так, рядом с домом, удобно "
4,"Обычная Пятёрочка,все есть .Очередей особых нет."
5,Очин хороший работники класс молодцы
5,"Находится у автобусной остановке, очень удобно. Достаточно просторно, ещё бы и ассортимент расширить."
5,"В ""Пятёрочке"" всё на ""5"". Очень удобное расположение магазина не только для жителей п.Виллози,а также и для водителей возвращающихся в Питер."
2,"Маленький выбор ,высокие цены,персонал тоже так себе некоторых надо уволить."
4,После ремонта масштабных изменений нет.
5,Отлично все сотрудники качество товара и сам магазин очень хорошил
5,Хороший персонал на кассе.
5,"Хорошие сотрудники. Всегда приветливы и культурные. 
"
5,"Очень хороший магазин, есть выпечка и кофе."
5,"В обслуживании всё устраивает, но ввиду малого размера самого магазина ассортимент товаров ограничен. Однако, плюсов всё же больше, поэтому пользуюсь им чаще, чем другими близлежащими магазинами (Магнит, Перекрёсток). 
Единственное чего сильно не хватает - наличие выпечки. В больших магазинах сети есть прекрасный отдел со своей выпечкой. Было бы здорово, если бы появился отдел со своим свежеиспечённым хлебом, пирожками, слойками..."
5,"Часто бываем, для поселка хороший магазин"
4,"всегда чисто, персонал трезвый, приветливый, компетентный.
Выбор скромный, но можно найти продукты на разный кошелёк.
Парковка рядом, в час пик заполняется.
Дополнительные кассы открывают оперативно."
4,"Тесновато,"
5,Хороший спокойный магазин. Чисто
4,"Обычная 5-ка. Рядом, с левой стороны (если стоять лицом ко входу) - булочная, с  правой (через дорогу) - Сбербанк.  5--ка находится напротив остановки"
5,"рядом с домом, ну и пятерочка есть пятерочка. все культурно ,на должном."
5,"Рядом с домом, хороший понимающий штат сотрудников"
2,"Нет шкафчиков для сумок
"
5,"Удобный по расположению, парковка, соответствующий выбор, нормальные цены, обслуживание."
4,Обычная пятерка но заезд и парковка ужас
1,Маленький и тесный магазин и на полках лежит просрочка особенно касается это мясной продукции
5,"Очень красивая и чистая Пятерочка после ремонта. Кассиров мало, всех переводят на самообслуживание, но.... Помогают."
3,"Кассы работает максимум 2 и кассы самообслуживания, очереди как и везде впрочем как персонал. Расположение удобное."
1,"Разочарование от этого магазина. Овощи никакие, вялые, картофеля свежего часто нет. Единственный плюс, свежая выпечка, но и та не всегда свежая."
5,"Отличный магазин, пользуется спросом, достаточный выбор товаров."
4,"Пятёрочка как пятёрочка. Ни чем не лучше и не хуже других. Просто магаз у дома. Чистенько, стандартный набор продуктов."
5,"Удобное месторасположение, стандартный ассортимент, без особых вкусовых пристрастий.
Цены можно немного опустить, а то бывает задирают 
до самых небес, потом скидками компенсируют и себе без малого, после скидок, процентов 40 остаётся ."
5,Хороший магазин с адекватными ценами
1,"Цены,на некоторые товары, на ценниках на витрине, не соответствуют ценам при оплате на кассе."
1,"Ценники со скидками очень часто не соответствуют сумме в чеке, иногда на 50-80 процентов. 
Обязательно проверяйте все товары с заманчивыми ценами на валидаторе в зале.
В этом магазине обманом покупателей занимаются уже не первый год."
5,Хороший магазин.  Цены адекватные
5,Очень аккуратная  очень красивая и хорошая свежей товарий
4,Просто рядом и всё есть.
3,"Мало кассиров, но все очень приятные и вежливые. Но из товаров вечно ничего нет!"
4,"Достаточно чисто, персонал вежливый. Главная проблема-это несоответствие цены и ценные. Отменини накопительную систему бонусов."
3,"Выбор товара минимальный пора закрывать и сделать хороший рыбный магазин, в этом районе их нет"
4,"Не весь товар соответствует указанным ценикам. Сам магазин светлый, просторный. Пятёрочка становится магазином для богатых. Это прескорбно но факт. Качан белокачанной капусты по 120 р/кг, за 400 руб - это трагедия."
5,"Пятёрочка топ. Отзывчивые продавцы, всегда чисто, кассы самообслуживания просто 🔥"
5,"Хороший магазин, персонал адекватный, помогают найти товары."
5,"Хорошее место, есть все необходимое"
5,"Большой ассортимент товара,вкусная выпечка,всегда есть скидки на определенный товар."
5,Нет ничега просрочиного
5,Отличный магазин.рядом с домом.
5,Мой любимый магазин маленькие очереди все четко
4,"Удобное расположение, но большие очереди, особенно вечером "
5,"Отличный магазин. Чисто. Товар аккуратно расставлен на полках. Ценники соответсивуют. Имеются кассы самообслуживания.  Сама живу в МО, у нас таких ""Пятерочек"" ещё поискать... "
4,"Продавцы все хорошик, а вот сама сеть не очень... Овощи, фрукты страшно смотреть... Да и тесно в магазине..."
5,"Нормальная 5ка, ничего сверхъестественного. Кассиры честно не продают запрещёнку без паспорта. Чисто, насекомых не заметил"
1,"Вроде новый магазин, а продают просрочку. Первый раз зашли, просто купить помидоры. Купили упаковку global village. Помидоры были буквально гнилые. Аккуратно перевернуты гнилой стороной вниз. Увольте управляющего этой точкой. Если такое допускает, что будет дальше?"
5,"Хороший, светлый магазин"
5,Отличное место
5,"Была в этом магазине, на Луначарского 86, несколько раз) Очень порадовала свежая выпечка! Кассиры мне попадались вежливые и с юмором, и даже когда я прибежала в магазин под самое закрытие, никто меня не подгонял и не смотрел косо. Мне нравится этот магазин!)"
4,"Большой магазин, широкий ассортимент, но вечная беда- ценники."
5,"Очень хороший персонал. Особенно был вежлив и обходителен молодой человек на алкогольнотобачной кассе. 
Спасибо Вам за таких сотрудников! Поднимают настроение после трудового дня."
5,"Как сама пятерочка, так и ТК на 2 этаже мне пришлись по вкусу, тем более что у меня там мой магазин, так что милости просим!!!"
5,Пятерочка как пятёрочка. Хорошая акция кофе плюс выпечка
4,"После реконструкции магазин стал гораздо лучше: удобно расположены полки, много места. Ну и кассы самообслуживания."
5,"Всем привет. Так то всё отлично,но почти как и во всех пятёрочках,очереди большие из за нехватки продавцов возможно,или ещё каких-то других причин"
5,"Хорошая пятёрочка , покупаю там!!"
5,Удобный и комфортный магазин. Дружелюбные кассиры. Чисто. Супер.
3,"Ну 5ка наша это не магазин, а безисходность) добавить больше нечего"
3,"Когда бы не зашёл, всегда работает только одна касса. Постоянно очередь"
5,Просто хороший магазин и хорошие скидки на продукты!
5,постоянно беру там пивко мне нравится это место
5,"Обслуживают быстро
Очередей не замечал"
5,"Самая лучшая пятёрочка в отличии от других пятеречек даже по сравнению с Санкт Петербургом. 
Большой выбор товаров, есть своя выпечка.
И самое главное есть кассы самообслуживания, что бы не стоять в очереди!"
5,"После ремонта стала отличной. Большой выбор товаров. Иногда не хватает ценников, но висят пикалки и всегда можно проверить цену"
5,Пятёрочка нормальная но у меня есть один плохой случай когда я зашёл в пятёрочку с другом а там сзади появился директор Да ну и ладно ну короче там всё хорошо
5,"Хороший магазин. Выбор есть. Персонал приветливый, вежливый. Чистота и порядок. Очереди практически нет. Есть кассы самообслуживания, что очень удобно."
5,"Потрясающее место , давление стабилизировалось , сон улучшился пропали боли в спине , замечательное место"
5,"Хорошая ""Пятерочка"""
4,Большая очередь в кассу. Неторопливые кассиры.Спать хочется.Но! Внимательно изучайте чеки. Акционные товары не всегда корректно проходят!Скидки не всегда отображаются! Покупатель Будь внимателен! Не спи в очередь!
1,"Закрыт магаз. Не знаю с чем это связано, но тем не менеее. По телефону поддержки никакой информации поедоставить не смогли. "
5,Хорошие цены на фрукты. Удобно их сейчас упаковывают
4,"Живу рядом с дамой пятерочкой, всё вполне устраивает,вежливый персонал, все витрины постоянно полные, очень приятное место, но... нет, точнее НО! Один гигантский минус который все портит... Кто вообще придумал абсолютно все пятёрочки переделывать под один тип? Я понимаю магазины с большой площадью, такая расстановка для них идеальна! Но зачем всё также расставлять в небольших помещениях? В итоге все смотрится тяп ляп, проходы узкие, постоянно трешся жопа и с кем-то. Из-за этого не хватает места под товар и многие продукты которые были до переделки банально пропали! Если бы расстановка стелажей делалась индивидуально под каждый магазин исходя из их площади, то я бы поставил твёрдую 5!А так ставлю только 4..."
3,Ничего примечательного нету. Здесь магазин ещё не ремонтировали. 
4,"В зале не найти персонал, чтобы уточнить про товар, ценники не соответствуют товару, на ценнике одна цена, на кассе другая. "
3,"В последний визит в магазине было невыносимо душно. Нравятся кассы самообслуживания, надо увеличить их количество. Удивили открытые полки с неупакованной выпечкой. Ассортимент товаров довольно скудный. Подход к магазину неудобный и опасный из-за самовольной парковки, захватившей огромную часть тротуара. Собственно, из-за чего и посещаю теперь этот магазин  очень редко."
2,"Когда пришла с картой visa, на кассе сказали что бонусы спасибо можно списать только с карты Мир. В следующий раз пришла с картой Мир опять же на кассе (естественно другая кассирша) сказала, что нет с такой карты списать бонусы не получится....Хотя в сбербанке уверяют, что бонусы спасибо можно списывать в Пятерочке с любой карты!"
2,"Нормальный вход в магазин почему-то часто закрыт, пробираться приходится через линию касс.

В магазине очень грязно, на полу постоянно грязные разводы, мусор, упаковка. Работникам (которые все из ближнего зарубежья) до этого дела нет, обсужать свои высокоинтеллектуальные дела и тупить в телефон им важнее. Одна только замотанная в занавески бездельница что-то веником елозит у касс, а толку нет."
5,"Отличный магазин, все есть, доброжелательный коллектив"
4,"Вежливый персонал, более менее демократичные цены. Небольшой ассортимент."
